Site,Date,TDS.mg.L,TSS.mg.L,NN.mg.L,TN.mg.L,TP.mg.L
Craig,2021-04,NA,NA,NA,NA,NA
Dearborn US,2021-04,NA,NA,NA,NA,NA
Dearborn DS,2021-04,NA,NA,NA,NA,NA
Hardy,2021-04,NA,NA,NA,NA,NA
Cascade,2021-04,NA,NA,NA,NA,NA
LPPC US,2021-05,235,2.9,0.01,0.24,0.019
LPPC DS,2021-05,143,26,0.07,0.2,0.041
Craig,2021-05,237,3.8,0.01,0.26,0.023
Dearborn US,2021-05,223,4,0.02,0.26,0.023
Dearborn DS,2021-05,215,6,0.02,0.25,0.023
Hardy,2021-05,219,5,0.01,0.48,0.023
Cascade,2021-05,222,7,0,0.24,0.029
LPPC US,2021-06,NA,NA,NA,NA,NA
LPPC DS,2021-06,NA,NA,NA,NA,NA
Craig,2021-06,NA,NA,NA,NA,NA
Dearborn US,2021-06,NA,NA,NA,NA,NA
Dearborn DS,2021-06,NA,NA,NA,NA,NA
Hardy,2021-06,NA,NA,NA,NA,NA
Cascade,2021-06,NA,NA,NA,NA,NA
LPPC US,2021-07,224,2.9,0,0.23,0.023
LPPC DS,2021-07,219,1.6,0,0.18,0.02
Craig,2021-07,230,5,0,0.23,0.04
Dearborn US,2021-07,225,1.5,0,0.21,0.019
Dearborn DS,2021-07,232,1.6,0,0.21,0.017
Hardy,2021-07,229,1.8,0,0.21,0.015
Cascade,2021-07,222,2.1,0,0.22,0.019
LPPC US,2021-08,NA,NA,NA,NA,NA
LPPC DS,2021-08,NA,NA,NA,NA,NA
Craig,2021-08,NA,NA,NA,NA,NA
Dearborn US,2021-08,NA,NA,NA,NA,NA
Dearborn DS,2021-08,NA,NA,NA,NA,NA
Hardy,2021-08,NA,NA,NA,NA,NA
Cascade,2021-08,NA,NA,NA,NA,NA
LPPC US,2021-09,228,5,0.02,0.33,0.042
LPPC DS,2021-09,217,4,0.02,0.22,0.025
Craig,2021-09,227,3.5,0,0.33,0.039
Dearborn US,2021-09,229,2.9,0,0.28,0.035
Dearborn DS,2021-09,228,3,0,0.28,0.034
Hardy,2021-09,226,6,0,0.29,0.04
Cascade,2021-09,230,1.9,0,0.24,0.022
LPPC US,2021-10,NA,NA,NA,NA,NA
LPPC DS,2021-10,NA,NA,NA,NA,NA
Craig,2021-10,NA,NA,NA,NA,NA
Dearborn US,2021-10,NA,NA,NA,NA,NA
Dearborn DS,2021-10,NA,NA,NA,NA,NA
Hardy,2021-10,NA,NA,NA,NA,NA
Cascade,2021-10,NA,NA,NA,NA,NA
LPPC US,2021-11,NA,NA,NA,NA,NA
LPPC DS,2021-11,NA,NA,NA,NA,NA
Craig,2021-11,NA,NA,NA,NA,NA
Dearborn US,2021-11,NA,NA,NA,NA,NA
Dearborn DS,2021-11,NA,NA,NA,NA,NA
Hardy,2021-11,NA,NA,NA,NA,NA
Cascade,2021-11,NA,NA,NA,NA,NA
LPPC US,2021-12,NA,NA,NA,NA,NA
LPPC DS,2021-12,NA,NA,NA,NA,NA
Craig,2021-12,NA,NA,NA,NA,NA
Dearborn US,2021-12,NA,NA,NA,NA,NA
Dearborn DS,2021-12,NA,NA,NA,NA,NA
Hardy,2021-12,NA,NA,NA,NA,NA
Cascade,2021-12,NA,NA,NA,NA,NA
LPPC US,2022-01,NA,NA,NA,NA,NA
LPPC DS,2022-01,NA,NA,NA,NA,NA
Craig,2022-01,NA,NA,NA,NA,NA
Dearborn US,2022-01,NA,NA,NA,NA,NA
Dearborn DS,2022-01,NA,NA,NA,NA,NA
Hardy,2022-01,NA,NA,NA,NA,NA
Cascade,2022-01,NA,NA,NA,NA,NA
LPPC US,2022-02,NA,NA,NA,NA,NA
LPPC DS,2022-02,NA,NA,NA,NA,NA
Craig,2022-02,NA,NA,NA,NA,NA
Dearborn US,2022-02,NA,NA,NA,NA,NA
Dearborn DS,2022-02,NA,NA,NA,NA,NA
Hardy,2022-02,NA,NA,NA,NA,NA
Cascade,2022-02,NA,NA,NA,NA,NA
LPPC US,2022-03,NA,NA,NA,NA,NA
LPPC DS,2022-03,NA,NA,NA,NA,NA
Craig,2022-03,NA,NA,NA,NA,NA
Dearborn US,2022-03,NA,NA,NA,NA,NA
Dearborn DS,2022-03,NA,NA,NA,NA,NA
Hardy,2022-03,NA,NA,NA,NA,NA
Cascade,2022-03,NA,NA,NA,NA,NA
LPPC US,2022-04,NA,NA,NA,NA,NA
LPPC DS,2022-04,NA,NA,NA,NA,NA
Craig,2022-04,NA,NA,NA,NA,NA
Dearborn US,2022-04,NA,NA,NA,NA,NA
Dearborn DS,2022-04,NA,NA,NA,NA,NA
Hardy,2022-04,NA,NA,NA,NA,NA
Cascade,2022-04,NA,NA,NA,NA,NA
LPPC US,2022-05,243,5,0.009,0.23,0.047
LPPC DS,2022-05,225,6,0.009,0.18,0.02
Craig,2022-05,247,3.9,NA,0.23,0.02
Dearborn US,2022-05,245,6,NA,0.22,0.026
Dearborn DS,2022-05,246,5,NA,0.2,0.022
Hardy,2022-05,247,3.9,NA,0.2,0.021
Cascade,2022-05,230,3.3,NA,0.18,0.018
LPPC US,2022-06,NA,NA,NA,NA,NA
LPPC DS,2022-06,NA,NA,NA,NA,NA
Craig,2022-06,NA,NA,NA,NA,NA
Dearborn US,2022-06,NA,NA,NA,NA,NA
Dearborn DS,2022-06,NA,NA,NA,NA,NA
Hardy,2022-06,NA,NA,NA,NA,NA
Cascade,2022-06,NA,NA,NA,NA,NA
LPPC US,2022-07,216,1.8,NA,0.3,0.031
LPPC DS,2022-07,193,1.1,0.01,0.25,0.014
Craig,2022-07,222,0.8,NA,0.3,0.024
Dearborn US,2022-07,222,1.7,NA,0.23,0.019
Dearborn DS,2022-07,163,1.3,NA,0.09,0.006
Hardy,2022-07,224,2.3,NA,0.17,0.02
Cascade,2022-07,224,5,NA,0.19,0.023
LPPC US,2022-08,NA,NA,NA,NA,NA
LPPC DS,2022-08,NA,NA,NA,NA,NA
Craig,2022-08,NA,NA,NA,NA,NA
Dearborn US,2022-08,NA,NA,NA,NA,NA
Dearborn DS,2022-08,NA,NA,NA,NA,NA
Hardy,2022-08,NA,NA,NA,NA,NA
Cascade,2022-08,NA,NA,NA,NA,NA
LPPC US,2022-09,210,3.9,0.05,0.3,0.046
LPPC DS,2022-09,207,2.9,0.05,0.32,0.04
Craig,2022-09,211,2.9,0.04,0.34,0.041
Dearborn US,2022-09,208,3.2,0.04,0.32,0.038
Dearborn DS,2022-09,211,3.1,0.04,0.47,0.037
Hardy,2022-09,210,3,0.02,0.29,0.034
Cascade,2022-09,207,2.6,NA,0.22,0.029
LPPC US,2022-10,NA,NA,NA,NA,NA
LPPC DS,2022-10,NA,NA,NA,NA,NA
Craig,2022-10,NA,NA,NA,NA,NA
Dearborn US,2022-10,NA,NA,NA,NA,NA
Dearborn DS,2022-10,NA,NA,NA,NA,NA
Hardy,2022-10,NA,NA,NA,NA,NA
Cascade,2022-10,NA,NA,NA,NA,NA
LPPC US,2022-11,NA,NA,NA,NA,NA
LPPC DS,2022-11,NA,NA,NA,NA,NA
Craig,2022-11,NA,NA,NA,NA,NA
Dearborn US,2022-11,NA,NA,NA,NA,NA
Dearborn DS,2022-11,NA,NA,NA,NA,NA
Hardy,2022-11,NA,NA,NA,NA,NA
Cascade,2022-11,NA,NA,NA,NA,NA
LPPC US,2022-12,NA,NA,NA,NA,NA
LPPC DS,2022-12,NA,NA,NA,NA,NA
Craig,2022-12,NA,NA,NA,NA,NA
Dearborn US,2022-12,NA,NA,NA,NA,NA
Dearborn DS,2022-12,NA,NA,NA,NA,NA
Hardy,2022-12,NA,NA,NA,NA,NA
Cascade,2022-12,NA,NA,NA,NA,NA
LPPC US,2023-01,NA,NA,NA,NA,NA
LPPC DS,2023-01,NA,NA,NA,NA,NA
Craig,2023-01,NA,NA,NA,NA,NA
Dearborn US,2023-01,NA,NA,NA,NA,NA
Dearborn DS,2023-01,NA,NA,NA,NA,NA
Hardy,2023-01,NA,NA,NA,NA,NA
Cascade,2023-01,NA,NA,NA,NA,NA
LPPC US,2023-02,NA,NA,NA,NA,NA
LPPC DS,2023-02,NA,NA,NA,NA,NA
Craig,2023-02,NA,NA,NA,NA,NA
Dearborn US,2023-02,NA,NA,NA,NA,NA
Dearborn DS,2023-02,NA,NA,NA,NA,NA
Hardy,2023-02,NA,NA,NA,NA,NA
Cascade,2023-02,NA,NA,NA,NA,NA
LPPC US,2023-03,NA,NA,NA,NA,NA
LPPC DS,2023-03,NA,NA,NA,NA,NA
Craig,2023-03,NA,NA,NA,NA,NA
Dearborn US,2023-03,NA,NA,NA,NA,NA
Dearborn DS,2023-03,NA,NA,NA,NA,NA
Hardy,2023-03,NA,NA,NA,NA,NA
Cascade,2023-03,NA,NA,NA,NA,NA
LPPC US,2023-04,NA,NA,NA,NA,NA
LPPC DS,2023-04,NA,NA,NA,NA,NA
Craig,2023-04,NA,NA,NA,NA,NA
Dearborn US,2023-04,NA,NA,NA,NA,NA
Dearborn DS,2023-04,NA,NA,NA,NA,NA
Hardy,2023-04,NA,NA,NA,NA,NA
Cascade,2023-04,NA,NA,NA,NA,NA
LPPC US,2023-05,231,4,0.03,0.23,0.016
LPPC DS,2023-05,136,44,0.1,0.28,0.04
Craig,2023-05,231,4,0.03,0.25,0.017
Dearborn US,2023-05,224,5,0.03,0.25,0.02
Dearborn DS,2023-05,215,13,0.04,0.25,0.019
Hardy,2023-05,221,10,0.04,0.24,0.049
Cascade,2023-05,214,10,0.04,0.26,0.025
LPPC US,2023-06,NA,NA,NA,NA,NA
LPPC DS,2023-06,NA,NA,NA,NA,NA
Craig,2023-06,NA,NA,NA,NA,NA
Dearborn US,2023-06,NA,NA,NA,NA,NA
Dearborn DS,2023-06,NA,NA,NA,NA,NA
Hardy,2023-06,NA,NA,NA,NA,NA
Cascade,2023-06,NA,NA,NA,NA,NA
LPPC US,2023-07,195,2,0.08,0.38,0.029
LPPC DS,2023-07,196,3,0.06,0.19,0.016
Craig,2023-07,198,2,0.05,0.37,0.019
Dearborn US,2023-07,195,2,0.04,0.35,0.014
Dearborn DS,2023-07,191,2,0.02,0.4,0.015
Hardy,2023-07,193,2,0.02,0.35,0.015
Cascade,2023-07,199,4,0.01,0.31,0.015
LPPC US,2023-08,NA,NA,NA,NA,NA
LPPC DS,2023-08,NA,NA,NA,NA,NA
Craig,2023-08,NA,NA,NA,NA,NA
Dearborn US,2023-08,NA,NA,NA,NA,NA
Dearborn DS,2023-08,NA,NA,NA,NA,NA
Hardy,2023-08,NA,NA,NA,NA,NA
Cascade,2023-08,NA,NA,NA,NA,NA
LPPC US,2023-09,207,3,0.06,0.32,0.044
LPPC DS,2023-09,214,2,,0.12,0.01
Craig,2023-09,205,4,0.04,0.33,0.043
Dearborn US,2023-09,207,2,0.05,0.35,0.038
Dearborn DS,2023-09,206,2,0.04,0.33,0.035
Hardy,2023-09,208,2,0.04,0.35,0.031
Cascade,2023-09,205,2,,0.37,0.03
LPPC US,2023-10,NA,NA,NA,NA,NA
LPPC DS,2023-10,NA,NA,NA,NA,NA
Craig,2023-10,NA,NA,NA,NA,NA
Dearborn US,2023-10,NA,NA,NA,NA,NA
Dearborn DS,2023-10,NA,NA,NA,NA,NA
Hardy,2023-10,NA,NA,NA,NA,NA
Cascade,2023-10,NA,NA,NA,NA,NA
LPPC US,2023-11,NA,NA,NA,NA,NA
LPPC DS,2023-11,NA,NA,NA,NA,NA
Craig,2023-11,NA,NA,NA,NA,NA
Dearborn US,2023-11,NA,NA,NA,NA,NA
Dearborn DS,2023-11,NA,NA,NA,NA,NA
Hardy,2023-11,NA,NA,NA,NA,NA
Cascade,2023-11,NA,NA,NA,NA,NA
LPPC US,2023-12,NA,NA,NA,NA,NA
LPPC DS,2023-12,NA,NA,NA,NA,NA
Craig,2023-12,NA,NA,NA,NA,NA
Dearborn US,2023-12,NA,NA,NA,NA,NA
Dearborn DS,2023-12,NA,NA,NA,NA,NA
Hardy,2023-12,NA,NA,NA,NA,NA
Cascade,2023-12,NA,NA,NA,NA,NA
