Site,Date,TDS.mg.L,TSS.mg.L,NN.mg.L,TN.mg.L,TP.mg.L
Craig,2016-06,NA,NA,NA,NA,NA
Dearborn US,2016-06,NA,NA,NA,NA,NA
Dearborn DS,2016-06,NA,NA,NA,NA,NA
Hardy,2016-06,NA,NA,NA,NA,NA
Cascade,2016-06,NA,NA,NA,NA,NA
LPPC US,2016-07,179,0,0,0.13,0.011
LPPC DS,2016-07,135,0,0,0.04,0.008
Craig,2016-07,144,0,0,0.15,0.012
Dearborn US,2016-07,149,0,0,0.15,0.012
Dearborn DS,2016-07,137,0,0,0.14,0.013
Hardy,2016-07,141,0,0,0.14,0.013
Cascade,2016-07,176,5,0,0.14,0.015
LPPC US,2016-08,NA,NA,NA,NA,NA
LPPC DS,2016-08,NA,NA,NA,NA,NA
Craig,2016-08,NA,NA,NA,NA,NA
Dearborn US,2016-08,NA,NA,NA,NA,NA
Dearborn DS,2016-08,NA,NA,NA,NA,NA
Hardy,2016-08,NA,NA,NA,NA,NA
Cascade,2016-08,NA,NA,NA,NA,NA
LPPC US,2016-09,NA,NA,NA,NA,NA
LPPC DS,2016-09,NA,NA,NA,NA,NA
Craig,2016-09,NA,NA,NA,NA,NA
Dearborn US,2016-09,NA,NA,NA,NA,NA
Dearborn DS,2016-09,NA,NA,NA,NA,NA
Hardy,2016-09,NA,NA,NA,NA,NA
Cascade,2016-09,NA,NA,NA,NA,NA
LPPC US,2016-10,166,0,0.07,0.28,0.023
LPPC DS,2016-10,155,0,0.02,0.18,0.017
Craig,2016-10,152,0,0.06,0.26,0.02
Dearborn US,2016-10,NA,0,0.06,0.26,0.019
Dearborn DS,2016-10,NA,0,0,0.06,0
Hardy,2016-10,151,0,0.05,0.25,0.017
Cascade,2016-10,155,0,0,0.19,0.015
LPPC US,2016-11,NA,NA,NA,NA,NA
LPPC DS,2016-11,NA,NA,NA,NA,NA
Craig,2016-11,NA,NA,NA,NA,NA
Dearborn US,2016-11,NA,NA,NA,NA,NA
Dearborn DS,2016-11,NA,NA,NA,NA,NA
Hardy,2016-11,NA,NA,NA,NA,NA
Cascade,2016-11,NA,NA,NA,NA,NA
LPPC US,2016-12,NA,NA,NA,NA,NA
LPPC DS,2016-12,NA,NA,NA,NA,NA
Craig,2016-12,NA,NA,NA,NA,NA
Dearborn US,2016-12,NA,NA,NA,NA,NA
Dearborn DS,2016-12,NA,NA,NA,NA,NA
Hardy,2016-12,NA,NA,NA,NA,NA
Cascade,2016-12,NA,NA,NA,NA,NA
LPPC US,2017-01,NA,NA,NA,NA,NA
LPPC DS,2017-01,NA,NA,NA,NA,NA
Craig,2017-01,NA,NA,NA,NA,NA
Dearborn US,2017-01,NA,NA,NA,NA,NA
Dearborn DS,2017-01,NA,NA,NA,NA,NA
Hardy,2017-01,NA,NA,NA,NA,NA
Cascade,2017-01,NA,NA,NA,NA,NA
LPPC US,2017-02,NA,NA,NA,NA,NA
LPPC DS,2017-02,NA,NA,NA,NA,NA
Craig,2017-02,NA,NA,NA,NA,NA
