,MAYFLIES,STONEFLIES,CADDISFLIES,RIFFLE BEETLES,DIPTERA/MIDGES, AQ WORMS/  FLATWORMS,AQ SNAILS/CLAMS,SCUDS/ ISOPODS,AQ MOTHS
MO_HOLTER,31.2,0.0,15.6,0.0,33.1,0.2,1.8,17.0,0.7
MO_LPPC_US,14.3,0.0,11.1,0.4,38.0,9.2,12.1,9.4,0.0
MO_LPPC_DS,47.0,0.2,18.8,8.2,4.9,8.8,10.3,0.4,0.5
MO_CRAIG,1.0,0.0,25.9,1.4,23.5,5.9,35.1,6.3,0.2
MO_DEAR_US,44.4,0.0,10.1,1.2,23.5,7.5,1.5,9.0,0.2
DEARBORN R.,25.5,0.2,26.5,20.2,19.5,3.4,1.4,2.9,0.3
MO_HARDY,55.7,0.0,13.0,3.5,8.6,3.7,3.3,7.3,1.1
MO_CASCADE,23.0,0.0,20.9,8.0,21.0,14.0,3.0,8.0,2.4
